sku;nama_produk;gambar;barcode;sni
ASFMP-09KB;Keset Kaki / Floor Mat PVC Kotak 50x80 Motif 09;;;?
ASFMP-09KS;Keset Kaki / Floor Mat PVC Kotak 40x60 Motif 09;;;?
ASFMP-10KB;Keset Kaki / Floor Mat PVC Kotak 50x80 Motif 10;;;?
ASFMP-10KS;Keset Kaki / Floor Mat PVC Kotak 40x60 Motif 10;;;?
ASFMP-11KB;Keset Kaki / Floor Mat PVC Kotak 50x80 Motif 11;;;?
ASFMP-11KS;Keset Kaki / Floor Mat PVC Kotak 40x60 Motif 11;;;?
ASFMP-12KB;Keset Kaki / Floor Mat PVC Kotak 50x80 Motif 12;;;?
ASFMP-12KS;Keset Kaki / Floor Mat PVC Kotak 40x60 Motif 12;;;?
ASFMP-13KS;Keset Kaki / Floor Mat PVC Kotak 40x60 Motif 13;;;?
ASFMP-14KS;Keset Kaki / Floor Mat PVC Kotak 40x60 Motif 14;;;?
ASFMP-15KS;Keset Kaki / Floor Mat PVC Kotak 40x60 Motif 15;;;?
ASFMP-16KS;Keset Kaki / Floor Mat PVC Kotak 40x60 Motif 16;;;?
ASFMR-17KS;Keset Kaki / Floor Mat Polyester Rubber Kotak 40x60 Motif 17;;;?
ASFMR-18KS;Keset Kaki / Floor Mat Polyester Rubber Kotak 40x60 Motif 18;;;?
ASFMR-19KS;Keset Kaki / Floor Mat Polyester Rubber Kotak 40x60 Motif 19;;;?
ASFO-01;Steak Tong - Asta;;;
ASFO-02;Food Tong Stainless 23 cm - Asta;;;
ASFO-02A;Food Tong Stainless 29 cm - Asta;;;
ASFO-03;Food Tong 18 cm Kecil - Asta;;;
ASFO-04;Food Tong Teppan Stainless 26 cm - Asta;;;
ASFO-05;Food Tong 23 cm - Asta;;;
ASFO-06;Food Tong Silicone 23 cm - Asta;;;
ASFO-06A;Food Tong Silicone 30 cm - Asta;;;
ASGD-612BK;Glass Dispenser / Dispenser Kaca 1,2 Ltr;;;?
ASGD-612BL;Glass Dispenser / Dispenser Kaca 1,2 Ltr;;;?
ASGD-612GR;Glass Dispenser / Dispenser Kaca 1,2 Ltr;;;?
ASGD-612GY;Glass Dispenser / Dispenser Kaca 1,2 Ltr;;;?
ASGD-612PR;Glass Dispenser / Dispenser Kaca 1,2 Ltr;;;?
ASGD-612RD;Glass Dispenser / Dispenser Kaca 1,2 Ltr;;;?
ASGD-612WH;Glass Dispenser / Dispenser Kaca 1,2 Ltr;;;?
ASGD-612YL;Glass Dispenser / Dispenser Kaca 1,2 Ltr;;;?
ASGD-620BK;Glass Dispenser / Dispenser Kaca 2 Ltr;;;?
ASGD-620BL;Glass Dispenser / Dispenser Kaca 2 Ltr;;;?
ASGD-620GR;Glass Dispenser / Dispenser Kaca 2 Ltr;;;?
ASGD-620GY;Glass Dispenser / Dispenser Kaca 2 Ltr;;;?
ASGD-620PR;Glass Dispenser / Dispenser Kaca 2 Ltr;;;?
ASGD-620RD;Glass Dispenser / Dispenser Kaca 2 Ltr;;;?
ASGD-620WH;Glass Dispenser / Dispenser Kaca 2 Ltr;;;?
ASGD-620YL;Glass Dispenser / Dispenser Kaca 2 Ltr;;;?
ASGD-639BK;Glass Dispenser / Dispenser Kaca 3,9 Ltr;;;?
ASGD-639BL;Glass Dispenser / Dispenser Kaca 3,9 Ltr;;;?
ASGD-639GR;Glass Dispenser / Dispenser Kaca 3,9 Ltr;;;?
ASGD-639GY;Glass Dispenser / Dispenser Kaca 3,9 Ltr;;;?
